,0,400,800,1200,1600,2000,2400
268,0.000042,0.000042,0.000042,0.000028,0.000055,0,0.000014
270,0,0,0.000014,0,0.000014,0,0
272,0.000014,0,0.000042,0.000055,0.000042,0,0.000042
274,0.000028,0.000014,0.000014,0.000042,0,0.000014,0.000014
276,0.000028,0.000014,0.000028,0.000028,0.000042,0.000014,0.000042
278,0.000042,0,0.000055,0.000055,0.000028,0.000028,0.000014
280,0.000042,0.000014,0.000042,0,0.000069,0,0.000028
282,0.000014,0.000014,0.000028,0.000042,0.000014,0.000014,0.000014
284,0.000014,0.000014,0.000055,0,0,0,0
286,0.000014,0.000014,0.000028,0,0.000014,0,0.000014
288,0,0,0,0.000014,0.000014,0,0
290,0,0,0.000014,0,0,0,0
292,0.000014,0.000069,0.000014,0,0.000055,0.000014,0.000014
294,0,0.000014,0,0,0,0,0
296,0,0,0.000042,0.000014,0,0,0.000014
298,0.000014,0,0,0.000028,0.000028,0,0
300,0.000042,0,0.000014,0.000014,0,0.000014,0.000028
302,0,0,0.000014,0.000028,0.000014,0,0.000014
304,0,0.000014,0,0,0.000014,0,0.000014
306,0.000014,0,0,0.000028,0,0,0
308,0,0,0.000014,0,0,0,0.000014
310,0,0,0,0.000014,0,0,0
312,0.000014,0.000014,0,0.000014,0,0,0.000014
314,0,0.000028,0,0.000014,0.000014,0,0.000014
316,0,0,0.000028,0.000014,0,0,0.000014
318,0.000014,0,0,0,0,0,0
320,0,0,0.000028,0.000014,0,0.000014,0
322,0,0,0,0.000014,0.000014,0,0
324,0,0,0,0,0,0,0.000014
326,0.000014,0,0,0,0.000014,0,0
328,0,0,0.000014,0.000014,0,0,0.000014
330,0,0,0.000014,0.000014,0,0,0
332,0,0,0,0.000014,0,0.000014,0
334,0,0,0,0.000014,0,0,0
336,0,0.000028,0.000014,0.000014,0,0,0.000014
338,0,0,0.000014,0,0,0,0
340,0,0,0,0,0.000014,0,0
342,0,0,0,0,0,0,0
344,0,0,0,0.000014,0.000014,0,0
346,0,0.000014,0.000028,0.000014,0,0.000014,0.000014
348,0.000014,0,0,0,0,0,0
350,0.000014,0,0,0,0,0,0
352,0,0,0,0,0.000014,0.000014,0.000014
354,0,0.000014,0.000014,0.000014,0,0,0.000014
356,0,0,0,0,0.000028,0,0
358,0.000014,0,0.000014,0,0,0,0
360,0.000014,0,0,0.000014,0.000028,0,0
362,0,0,0,0.000014,0,0,0
364,0,0,0,0,0,0,0
366,0,0.000014,0,0,0,0,0.000014
368,0,0,0,0.000014,0,0,0
370,0,0,0,0.000014,0,0,0
372,0,0,0,0.000014,0,0,0
374,0,0,0,0,0,0,0
376,0,0,0,0,0.000014,0,0
378,0,0.000014,0,0.000014,0,0,0
380,0,0,0,0,0,0,0
382,0,0,0.000014,0,0,0,0
384,0,0,0.000014,0,0,0,0
386,0,0.000014,0,0.000014,0,0,0
388,0,0,0,0,0.000014,0,0
390,0,0.000014,0,0,0,0,0.000014
392,0,0,0,0,0.000014,0,0.000014
394,0,0.000014,0,0,0,0,0
396,0,0,0,0,0,0,0.000014
398,0.000014,0.000014,0,0,0,0,0.000028
400,0,0,0.000014,0,0,0,0
402,0,0.000014,0.000042,0.000014,0,0,0
404,0.000014,0.000014,0,0,0.000014,0,0
406,0.000028,0,0,0,0,0,0
408,0.000014,0.000014,0,0,0.000014,0.000014,0
410,0,0,0,0.000014,0,0.000014,0
412,0.000014,0,0,0.000042,0,0,0
414,0,0.000014,0,0.000028,0.000014,0,0
