,0,100,200,300,400,500
728,0.000014,0,0.000014,0,0.000014,0
730,0,0,0,0,0,0.000028
732,0,0,0,0.000028,0,0
734,0,0,0,0,0,0.000028
736,0,0,0,0,0,0.000014
738,0,0,0,0,0.000014,0
740,0,0,0,0.000028,0,0.000014
742,0.000014,0,0,0,0,0
744,0,0,0,0.000028,0.000014,0.000028
746,0,0,0.000014,0,0,0.000014
748,0,0,0,0,0,0
750,0,0,0,0.000014,0.000014,0.000042
752,0,0,0,0,0.000014,0.000042
754,0,0,0,0.000014,0,0.000042
756,0,0,0,0.000014,0,0.000055
758,0,0,0,0,0.000042,0.000014
760,0,0,0,0.000014,0.000042,0.000028
762,0,0,0,0.000028,0.000014,0.000028
764,0.000014,0,0,0.000014,0.000014,0
766,0.000028,0,0,0,0.000028,0.000055
768,0,0,0,0,0.000014,0.000014
770,0.000014,0,0,0,0.000014,0.000042
772,0.000014,0,0,0,0.000014,0.000083
774,0,0,0,0,0.000042,0.000069
776,0.000014,0,0,0,0.000014,0.000042
778,0,0,0.000014,0,0.000028,0.000042
780,0,0,0,0,0,0.000028
782,0.000014,0,0,0,0.000028,0.000083
784,0,0,0,0.000014,0,0.000042
786,0.000028,0,0,0,0,0.000069
788,0.000014,0,0,0,0,0.000097
790,0,0,0,0.000014,0.000014,0.000083
792,0,0,0,0,0.000028,0.000097
794,0,0,0,0,0,0.000083
796,0,0.000014,0,0.000014,0.000014,0.000083
798,0,0,0,0,0,0.000069
