overflow 1ms,,,,
,over 400us,over 500us,over 1ms,over 2.5ms
149,0.487449,0.00154,0.000916,0.00025
150,0.487574,0.001235,0.000486,0.000194
151,0.513763,0.07112,0.000402,0.000111
152,0.362105,0.001027,0.000458,0.000277
153,0.240035,0.000749,0.000264,0.00018
154,0.322321,0.000929,0.000375,0.000236
155,0.299641,0.001137,0.000444,0.00025
156,0.239105,0.000749,0.000305,0.000139
157,0.304787,0.000805,0.000305,0.000139
158,0.265794,0.000874,0.000375,0.000222
159,0.217299,0.000929,0.000486,0.000222
160,0.259788,0.000791,0.000402,0.00025
161,0.323805,0.000916,0.000388,0.000222
162,0.312278,0.001027,0.000569,0.000333
163,0.303483,0.005188,0.001443,0.000583
164,0.221599,0.00086,0.000527,0.000291
165,0.274311,0.000694,0.000305,0.000194
166,0.319561,0.000818,0.000305,0.000236
167,0.343808,0.000805,0.000222,0.000153
168,0.29265,0.000971,0.000305,0.000153
169,0.234555,0.001124,0.000624,0.000236
170,0.348955,0.001443,0.000555,0.000264
171,0.293246,0.001082,0.000402,0.000139
172,0.244904,0.000985,0.000513,0.000319
173,0.286435,0.000888,0.000458,0.00018
174,0.251049,0.000957,0.000444,0.00018
175,0.309351,0.001609,0.000694,0.000333
176,0.407743,0.001054,0.000277,0.000236
177,0.308255,0.001027,0.00025,0.000111
178,0.251285,0.000902,0.000513,0.000305
179,0.236317,0.000707,0.000333,0.000208
180,0.241921,0.000777,0.000375,0.000194
181,0.309365,0.000791,0.000388,0.000264
182,0.403331,0.001512,0.000583,0.000264
183,0.399725,0.001304,0.000347,0.000236
184,0.32952,0.002844,0.001151,0.00043
185,0.239105,0.000888,0.000347,0.000236
186,0.261383,0.00068,0.000264,0.000166
187,0.224124,0.000888,0.000472,0.000236
188,0.273757,0.001762,0.001082,0.00025
189,0.398906,0.000957,0.000333,0.000264
190,0.276517,0.00104,0.000513,0.000305
191,0.301666,0.000777,0.000264,0.000153
192,0.326816,0.000902,0.000194,0.000111
193,0.325623,0.001082,0.000291,0.000166
194,0.274353,0.002428,0.000707,0.000361
195,0.230227,0.001179,0.000721,0.000222
196,0.324596,0.001179,0.000499,0.000139
197,0.411502,0.001359,0.000166,0.000055
198,0.3077,0.001318,0.000472,0.000194
199,0.320421,0.001013,0.000486,0.000264
200,0.276961,0.001082,0.000555,0.000319
201,0.233876,0.002039,0.000846,0.000375
202,0.271995,0.003093,0.000763,0.000361
203,0.271301,0.000846,0.000458,0.000291
204,0.23819,0.000749,0.000361,0.00018
205,0.25023,0.002441,0.000971,0.000388
206,0.231906,0.000791,0.00043,0.000139
207,0.306147,0.000791,0.000361,0.000222
208,0.407091,0.000916,0.00025,0.00018
209,0.361162,0.000943,0.000361,0.000222
210,0.253018,0.000874,0.000361,0.00025
211,0.218991,0.000652,0.000264,0.000125
212,0.308449,0.001665,0.000402,0.000264
213,0.268388,0.001027,0.000555,0.000333
214,0.32049,0.000888,0.000347,0.000208
215,0.413444,0.001082,0.000388,0.00025
216,0.276697,0.002608,0.000985,0.000513
217,0.23063,0.000874,0.000541,0.000222
218,0.227897,0.000999,0.000527,0.000236
219,0.294398,0.000999,0.000486,0.000319
220,0.356293,0.002608,0.00104,0.000458
221,0.309268,0.000846,0.000361,0.000208
222,0.252158,0.000624,0.000333,0.000097
223,0.284049,0.000583,0.000264,0.000166
224,0.339522,0.00147,0.00043,0.000305
225,0.264046,0.002608,0.000874,0.000388
226,0.888242,0.002081,0.001027,0.000541
227,0.882776,0.001692,0.000721,0.000486
228,0.8815,0.001845,0.000818,0.000444
229,0.871055,0.001887,0.00061,0.000277
230,0.878532,0.004051,0.000902,0.000458
231,0.876992,0.001526,0.000486,0.000305
232,0.876257,0.002317,0.000985,0.000569
233,0.889615,0.001706,0.000694,0.00043
234,0.892015,0.00473,0.00111,0.000513
235,0.875438,0.001956,0.000943,0.000499
236,0.872636,0.001637,0.000527,0.000361
237,0.87677,0.001637,0.000735,0.00043
238,0.879087,0.005008,0.001623,0.000596
239,0.882416,0.004231,0.001193,0.000624
240,0.884261,0.001776,0.000569,0.000319
241,0.887951,0.001623,0.00043,0.000277
242,0.868614,0.001762,0.00061,0.000472
243,0.880252,0.004481,0.001151,0.000638
244,0.883123,0.002067,0.000957,0.000486
245,0.880391,0.001651,0.000499,0.000333
246,0.885995,0.002511,0.000666,0.000416
247,0.876271,0.001706,0.000888,0.000333
248,0.870028,0.001457,0.00061,0.000388
249,0.880127,0.00172,0.000791,0.000402
250,0.881334,0.001665,0.000666,0.000513
251,0.88777,0.001984,0.000527,0.000347
252,0.887229,0.002622,0.000874,0.000458
253,0.873718,0.001637,0.000763,0.000402
254,0.880321,0.001956,0.000721,0.000444
255,0.874273,0.001581,0.000694,0.000472
256,0.879697,0.001678,0.000694,0.000375
257,0.881778,0.001512,0.000569,0.000361
258,0.884011,0.002303,0.001248,0.000444
259,0.871776,0.001748,0.000666,0.000388
260,0.865076,0.001443,0.000472,0.000319
261,0.878629,0.003385,0.001137,0.000402
262,0.882874,0.00154,0.00068,0.000291
263,0.881403,0.001443,0.00043,0.000222
